,nombre_del_platillo,tiempo_preparacion,porciones,ingredientes,instrucciones,nutricion
88,Buñuelos de manzana de mamá,35 mins,24,"1 litera de aceite vegetal para freír, 1 ½ tazas de harina para todo uso, 1 cucharada de azúcar blanca, 2 cucharaditas en polvo de hornear, ½ cucharadita de sal, ? taza de leche, 2 huevos grandes, batidos, 1 cucharada de aceite vegetal, 3 tazas de manzanas- pelado, con núcleo y picado, 1 taza de azúcar de canela","Caliente el aceite en una freidora o sartén eléctrica a 375 grados F (190 grados C).
Revuelva la harina, el azúcar, el polvo de hornear y la sal en un tazón grande. Vierta la leche, los huevos y el aceite; Revuelva hasta que esté bien mezclado. Mezcle las manzanas hasta que se distribuya uniformemente.
Trabajando en pequeños lotes para evitar el hacinamiento, deje caer cucharadas de masa en la freidora y fríe en aceite caliente hasta que esté dorado, aproximadamente 5 minutos. Use una cuchara ranurada para transferir buñuelos a un plato de toalla de papel. Mezcle los buñuelos tibios con azúcar de canela en un tazón hasta que estén bien cubiertos.











Dotdash Meredith Food Studios
","Total de grasa 5G 6%, grasa saturada 1G 4%, colesterol 16 mg 5%, sodio 98mg 4%, carbohidrato total 17 g 6%, fibra dietética 1G 2%, azúcares totales 3G, proteína 2g, vitamina C 1 mg 4%, calcio 35mg 3mg 3 %, Hierro 1 mg 3%, potasio 41mg 1%"
89,Fácil de relleno de pastel de manzana,30 mins,6,"1 (21 onzas) puede llenar el pastel de manzana, ½ cucharadita de canela molida, ½ cucharadita","Precaliente el horno a 350 grados F (175 grados C).
Extienda el relleno de pastel en una fuente para hornear de 8x8 pulgadas. Espolvorea con canela y nuez moscada.
Cremos juntos margarina y azúcar. Corte en harina con una licuadora de pastelería hasta que la mezcla se parezca a las migajas gruesas. Espolvorea la mezcla sobre el relleno de pastel.
Hornee en el horno precalentado hasta que la cobertura esté marrón y crujiente y el relleno esté caliente y burbujeante, aproximadamente 20 minutos.","Total de grasa 31G 39%, grasa saturada 5G 27%, sodio 398 mg 17%, carbohidrato total 67 g 25%, fibra dietética 2G 8%, azúcares totales 9G, proteína 5G, vitamina C 1 mg 6%, calcio 31 mg 2%, hierro 2mg 13 13 %, Potasio 119mg 3%"
90,Muffins de Apple Strudel,45 mins,12,"2 tazas de harina para todo uso, 1 cucharadita de hornear en polvo, ½ cucharadita de bicarbonato de sodio, ½ cucharadita de sal, 1 taza de azúcar blanco, ½ taza de mantequilla, 2 huevos grandes, 1 ¼ cucharadita de vainilla, 1 ½ tazas de manzanas picadas","Precaliente el horno a 375 grados F (190 grados C). Engrase una bandeja de muffin de 12 tazas.
Mezcle la harina, el polvo de hornear, el bicarbonato de sodio y la sal en un tazón mediano.
Batir el azúcar, la mantequilla y los huevos en un tazón grande hasta que estén suaves. Mezclar en vainilla. Agregue las manzanas, luego mezcle gradualmente en la mezcla de harina. Coloque la masa en el muffins preparado.
Haga cobertura: mezcle azúcar morena, harina y canela en un tazón pequeño. Corte en mantequilla hasta que la mezcla se parezca a las migajas gruesas. Espolvorea sobre cada tapa de muffin.
Hornee en el horno precalentado hasta que un palillo insertado en el centro de un muffin salga limpio, aproximadamente 20 minutos. Deje reposar 5 minutos antes de transferir muffins a una rejilla para que se enfríe.











Korona
","Total de grasa 10G 12%, grasa saturada 6G 29%, colesterol 54mg 18%, sodio 255mg 11%, carbohidrato total 41g 15%, fibra dietética 1G 4%, azúcares totales 24 g, proteína 3G, vitamina C 1 mg 4%, calcio 33mg 3 %, Hierro 1 mg 7%, potasio 63mg 1%"
91,Deliciosas manzanas horneadas de canela,1 hrs,6,"1 cucharadita de mantequilla, 2 cucharadas de azúcar morena, 3 cucharaditas de azúcar de vainilla, 3 cucharaditas de canela molida, 1 cucharadita","Precaliente el horno a 350 grados F (175 grados C). Engrase una fuente grande para hornear con mantequilla.
Mezcle el azúcar morena, el azúcar de vainilla, la canela y la nuez moscada en un tazón pequeño. Capa de aproximadamente 1/3 de las manzanas en la fuente de hornear preparada; Espolvorea con 1/3 de la mezcla de azúcar. Repita las capas dos veces más.
Hornee en el horno precalentado durante 30 minutos. Vierta el agua sobre las manzanas y continúe horneando hasta que estén tiernos, aproximadamente 15 minutos más.","Total de grasa 1g 2%, grasa saturada 1G 3%, colesterol 2 mg 1%, sodio 9 mg 0%, carbohidrato total 37 g 13%, fibra dietética 6g 21%, azúcares totales 27 g, proteína 1 g, vitamina C 10mg 49%, calcio 29mg 2 29mg 2 %, Hierro 0 mg 2%, potasio 240mg 5%"
92,Ensalada Waldorf,20 mins,6,"½ taza de mayonesa, 1 cucharada de azúcar blanca, 1 cucharadita de jugo de limón, ? cucharadita de sal, 3 manzanas: peladas, con núcleo y picada, 1 taza de apio en rodajas finas, ½ taza de nueces picadas, ½ taza de pasas (opcionales)","Batir la mayonesa, el azúcar, el jugo de limón y la sal en un tazón para servir.
Agregue manzanas, apio, nueces y pasas. Cubra y enfríe en el refrigerador hasta que esté listo para servir.","Total de grasa 21G 27%, grasa saturada 3G 14%, colesterol 7mg 2%, sodio 171mg 7%, carbohidrato total 24 g 9%, fibra dietética 3G 11%, azúcares totales 17G, proteína 2g, vitamina C 5mg 23%, calcio 29mg 2 mg 2 de %, Hierro 1 mg 4%, potasio 263 mg 6%"
93,Crostada de cranberros de manzana,,8,"3 cucharadas de mantequilla, 2 libras de manzanas Granny Smith (u otras manzanas firmes, crujientes), peladas, descuidadas, con núcleo y rodajas de 1/4 de pulgada de espesor, 1 libra de manzanas Macintosh (u otras manzanas de textura suave que se desmoronan cuando se cocinan), pelado, descuidado, con núcleo y en rodajas de 1/4 de pulgada de espesor, ½ taza de azúcar, ½ taza de arándanos secos, hojas de hojaldre congelado de 1 hoja, descongelado pero aún frío (siga direcciones del paquete), 1 clara de huevo, ligeramente batida, 1 cucharada de azúcar , 1 taza opcional: helado o crema batida ligeramente endulzada","Caliente la mantequilla en una sartén grande a fuego medio-alto. Agregue manzanas, 1/2 taza de azúcar y arándanos; Cubra y cocine hasta que las manzanas liberen su líquido, aproximadamente 5 minutos. Retire la tapa y continúe cocinando, revolviendo con frecuencia, hasta que las manzanas suaves se desmoronen y los jugos se espesen a una consistencia delir-syrup, aproximadamente 5 minutos más. Vierta en una bandeja para galletas de labio grande o una bandeja de gelatina y enfríe a temperatura ambiente. (Se puede refrigerar en un recipiente hermético de hasta 5 días).
Ajuste la rejilla del horno a una posición baja y caliente el horno a 400 grados. Abra la hoja de hojaldre en una superficie de trabajo ligeramente enharinada. Enrolle en un rectángulo, aproximadamente 10 por 16 pulgadas. Transfiera a una gran bandeja para galletas. (Sugiero alinear la hoja con papel pergamino; esto asegura que la Crosta no se adhiera y permita una limpieza fácil).
Extienda manzanas cocidas sobre pasteles, dejando un borde de 2 pulgadas. Plegable bordes de pastelería sobre manzanas. Despliegue las esquinas y forme pliegues con volantes para evitar que la masa se superponga. Cepille el borde de la masa con clara de huevo y espolvoree con la 1 TB restante. azúcar. Hornee hasta que la masa esté dorada, de 25 a 30 minutos. Sirva tibia o a temperatura ambiente con helado opcional o crema batida.","Total de grasa 18G 23%, grasa saturada 7G 34%, colesterol 19 mg 6%, sodio 128 mg 6%, carbohidrato total 60 g 22%, fibra dietética 5G 16%, azúcares totales 40G, proteína 4G, vitamina C 82%, calcio 35mg 3 %, Hierro 1 mg 6%, potasio 245mg 5%"
94,Pie de manzana de la abuela Ople,1 hrs 30 mins,8,"8 manzanas pequeñas Granny Smith, o según sea necesario, ½ taza de mantequilla sin sal, 3 cucharadas de harina para todo uso, hojas","Pele y núclee manzanas, luego corte finamente. Dejar de lado.
Precaliente el horno a 425 grados F (220 grados C).
Derrita la mantequilla en una cacerola a fuego medio. Agregue harina y revuelva para formar una pasta; Cocine hasta que estén fragantes, aproximadamente de 1 a 2 minutos. Agregue azúcares y agua; llevar a ebullición. Reduzca el fuego a bajo y cocine a fuego lento durante 3 a 5 minutos. Retirar del fuego.
Presione una masa en la parte inferior y suba los lados de un molde para pastel de 9 pulgadas. Extienda la masa restante para que sobresalga el pastel de aproximadamente 1/2 pulgada. Corte la masa en ocho tiras de 1 pulgada.
Coloque manzanas en rodajas en la corteza inferior, formando un ligero montículo. Coloque cuatro tiras de pastelería verticalmente y espaciadas uniformemente sobre manzanas, usando tiras más largas en el centro y tiras más cortas en los bordes.
Haga una corteza de celosía: doble las tiras de primera y tercera hasta el final para que casi se caigan del pastel. Coloque una de las tiras no utilizadas perpendicularmente sobre la segunda y cuarta tiras, luego vuelva a desarrollar las tiras de primera y tercera en su posición original.
Dobla la segunda y cuarta tiras verticales hacia atrás. Coloque una de las tres tiras no utilizadas perpendicularmente sobre la parte superior. Revuelve las tiras segunda y cuarta en su posición original.
Repita los pasos 6 y 7 para tejer en las últimas dos tiras de pasteles. Dobla y recorte el exceso de masa en los bordes según sea necesario, y pellizque para asegurar.
Vierta lenta y suavemente la mezcla de mantequilla de azúcar sobre la corteza de la red, asegurándose de que se filtre sobre manzanas en rodajas. Cepille un poco en la red, pero asegúrese de que no salga de los lados.
Hornee en el horno precalentado durante 15 minutos. Reduzca la temperatura a 350 grados F (175 grados C) y continúe horneando hasta que las manzanas estén suaves, de 35 a 45 minutos.











Natalie t
","Total de grasa 19G 24%, grasas saturadas 9G 46%, colesterol 31 mg 10%, sodio 124mg 5%, carbohidrato total 52g 19%, fibra dietética 3G 10%, proteína 2G, vitamina C 5mg 27%, calcio 23 mg 2%, hierro 1mg 1mg 1 mg 6%, potasio 156 mg 3%"
95,Sarah's casera de manzana,25 mins,4,"4 manzanas: peladas, con cólera y picada, ¾ taza de agua, ¼ de taza de azúcar blanca, ½ cucharadita de canela molida","Combine manzanas, agua, azúcar y canela en una cacerola; Cubra y cocine a fuego medio hasta que las manzanas estén suaves, aproximadamente de 15 a 20 minutos.
Permita que la mezcla de manzana se enfríe, luego mezcle con un tenedor o machacador de papas hasta que sea la consistencia que le guste.











Foto de Cookin'Mama.
Cookin Mama
","Total de grasa 0g 0%, sodio 3 mg 0%, carbohidrato total 32G 12%, fibra dietética 4G 13%, azúcares totales 27 g, proteína 0 g, vitamina C 6mg 32%, calcio 13mg 1%, hierro 0mg 1%, potasio 150mg 3%%3%"
96,Manzana crujiente,1 hrs 15 mins,12,"10 tazas de manzanas para todo uso, pelado, con núcleo y en rodajas, 1 taza de azúcar blanca, 1 cucharada de harina para todo uso, 1 cucharadita de canela molida, ½ taza de agua, 1 taza de avena de cocción rápida, 1 taza de harina de uso múltiple, 1 taza azúcar morena empaquetada, ¼ cucharadita de polvo de hornear, ¼ cucharadita de bicarbonato de sodio, ½ taza de mantequilla, derretido","Precaliente el horno a 350 grados F (175 grados C).
Coloque manzanas en rodajas en una fuente para hornear de 9x13 pulgadas. Mezcle el azúcar blanco, 1 cucharada de harina y canela juntas; Espolvorea sobre manzanas. Vierta agua uniformemente sobre manzanas.
Combine la avena, 1 taza de harina, azúcar morena, polvo de hornear y bicarbonato de sodio en un tazón grande. Agregue la mantequilla derretida y mezcle con un tenedor hasta que se desmenuzca; Espolvorea uniformemente sobre la mezcla de manzana.
Hornee en el horno precalentado hasta que la parte superior esté dorada y las manzanas estén burbujeando alrededor de los bordes, aproximadamente 45 minutos.











Dotdash Meredith Food Studios
","Total de grasa 8G 11%, grasa saturada 5G 25%, colesterol 20mg 7%, sodio 98mg 4%, carbohidrato total 61g 22%, fibra dietética 3G 12%, azúcares totales 44 g, proteína 2g, vitamina C 4 mg 21%, calcio 36 mg 3 %, Hierro 1 mg 6%, potasio 162mg 3%"
97,Relleno de pastel de manzana,2 hrs 40 mins,40,"18 tazas de manzanas en rodajas finas, 3 cucharadas de jugo de limón, 10 tazas de agua, 4 ½ tazas de azúcar blanco, 1 taza de maicena, 2 cucharaditas de canela molida, 1 cucharadita de sal, ¼ cucharadita de nuez moscada","Mezcle manzanas con jugo de limón en un tazón grande y reserve.
Vierta el agua en un horno holandés a fuego medio. Combine el azúcar, la maicena, la canela, la sal y la nuez moscada en un tazón; Agregue al agua, revuelva bien y hierva. Hervir durante 2 minutos, revolviendo constantemente.
Agregue manzanas y vuelva a hervir. Reduzca el fuego, cubra y cocine a fuego lento hasta que las manzanas estén tiernas, de 6 a 8 minutos. Enfriar durante 30 minutos.
Coloque en 5 contenedores de congelador, dejando 1/2 pulgada de espacio de cabeza. Enfríe a temperatura ambiente no más de 1 1/2 horas.
Sellar y congelar. Se puede almacenar por hasta 12 meses.











Dotdash Meredith Food Studios
","Total de grasa 0G 0%, sodio 61 mg 3%, carbohidrato total 33G 12%, fibra dietética 1G 5%, azúcares totales 28 g, proteína 0 g, vitamina C 3 mg 16%, calcio 7mg 1%, hierro 0mg 1%, potasio 63mg 1%1%, 1%"
98,CRISP CRISPLA DE MAPILE FÁCIL,1 hrs,4,"6 manzanas: peladas, con córbidas y en rodajas, 2 cucharadas de azúcar blanca, 1 ½ cucharaditas de canela molida, dividida, 1 taza de azúcar morena, ¾ taza de avena pasada de moda, ¾ taza de harina para todo uso, ½ taza de mantequilla fría","Precaliente el horno a 350 grados F (175 grados C).
Mezcle manzanas con azúcar blanca y 1/2 cucharadita de canela en un tazón mediano para cubrir; Vierta en una fuente de hornear cuadrada de 9 pulgadas.
Mezcle azúcar morena, avena, harina y 1 cucharadita de canela en un tazón aparte. Corte en mantequilla fría con 2 cuchillos o una licuadora de pastelería hasta que la mezcla se parezca a las migajas gruesas; Extienda sobre manzanas y dale una palmada suavemente hasta que parezca.
Hornee en el horno precalentado hasta que estén burbujeando el marrón dorado y los lados, aproximadamente 40 minutos.









","Total de grasa 25 g 32%, grasa saturada 15 g 74%, colesterol 61mg 20%, sodio 177mg 8%, carbohidrato total 99g 36%, fibra dietética 8G 27%, azúcares totales 63g, proteína 5 g, vitamina C 10mg 48%, calcio 69mg 5 5 %, Hierro 2mg 13%, potasio 360 mg 8%"
99,Sidra de manzana fácil,1 hrs 10 mins,8,"1 (64 onza fluida) Cidera de manzana de botella, 3 palitos de canela, 1 cucharadita de toda la pimienta de Jama","Combine la sidra de manzana y los palitos de canela en una olla de cocción lenta.
Coloque la pimienta de Jamaica y los clavos en el centro de una pieza cuadrada de queso de 8 pulgadas. Reúna los bordes de la queso y atan para asegurar; Coloque en la olla de cocción lenta. Agregue el azúcar morena. Cocine en alto hasta que se hunda. Reduzca el fuego a bajo y manténgase caliente.","Total de grasa 0g 0%, sodio 31 mg 1%, carbohidrato total 43g 16%, fibra dietética 1G 3%, azúcares totales 38 g, proteína 0 g, vitamina C 0 mg 1%, calcio 23mg 2%, hierro 0mg 1%, potasio 20 mg 0%%0%"
100,Cranberry de manzana,1 hrs 5 mins,8,"2 libras de manzanas Granny Smith: peladas, con núcleo y en rodajas finas, ¾ taza de arándanos, ¼ de taza de azúcar blanca, 1 cucharada de canela molida, 1 cucharadita de nuez moscada","Precaliente el horno a 375 grados F (190 grados C.) Mantequilla Una fuente para hornear cuadrada de 8 pulgadas.
Mezcle manzanas, arándanos, azúcar blanca, canela y nuez moscada en un tazón grande. Coloque en una capa uniforme en la fuente para hornear preparada.
En el mismo tazón, combine la avena, la harina y el azúcar moreno para la cobertura. Agregue trozos de mantequilla y mezcle con un tenedor hasta que se desmorone. Agregue las nueces. Espolvorea la cobertura sobre las manzanas en la fuente para hornear.
Hornee en el horno precalentado hasta que las manzanas estén tiernas y la cobertura esté dorada, de 40 a 50 minutos.","Total de grasa 12g 15%, grasa saturada 4G 22%, colesterol 15 mg 5%, sodio 47mg 2%, carbohidrato total 43g 16%, fibra dietética 4G 16%, azúcares totales 32 g, proteína 2g, vitamina C 7mg 36%, calcio 37mg 3 %, Hierro 1 mg 6%, potasio 207mg 4%"
